secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,low,high,open,close,volume,return,cfadj,shrout,cfret
108105,20190603,64881510,SPX,9999,1,32768,,A,,2728.81,2763.07,2751.53,2744.45,0,-0.002765,1,0,1
108105,20190604,64881510,SPX,9999,1,32768,,A,,2762.64,2804.49,2762.64,2803.27,0,0.021432,1,0,1
108105,20190605,64881510,SPX,9999,1,32768,,A,,2800.92,2827.28,2818.09,2826.15,0,0.008162,1,0,1
108105,20190606,64881510,SPX,9999,1,32768,,A,,2822.45,2852.1,2828.51,2843.49,0,0.006136,1,0,1
108105,20190607,64881510,SPX,9999,1,32768,,A,,2852.87,2884.97,2852.87,2873.34,0,0.010498,1,0,1
108105,20190610,64881510,SPX,9999,1,32768,,A,,2885.51,2904.77,2885.83,2886.73,0,0.00466,1,0,1
108105,20190611,64881510,SPX,9999,1,32768,,A,,2878.53,2910.61,2903.27,2885.72,0,-0.00035,1,0,1
108105,20190612,64881510,SPX,9999,1,32768,,A,,2874.68,2888.57,2882.73,2879.84,0,-0.002038,1,0,1
108105,20190613,64881510,SPX,9999,1,32768,,A,,2881.99,2895.24,2886.24,2891.64,0,0.004097,1,0,1
108105,20190614,64881510,SPX,9999,1,32768,,A,,2879.62,2894.45,2886.82,2886.98,0,-0.001612,1,0,1
108105,20190617,64881510,SPX,9999,1,32768,,A,,2887.3,2897.27,2889.75,2889.67,0,0.000932,1,0,1
108105,20190618,64881510,SPX,9999,1,32768,,A,,2905.44,2930.79,2906.71,2917.75,0,0.009717,1,0,1
108105,20190619,64881510,SPX,9999,1,32768,,A,,2911.43,2931.74,2920.55,2926.46,0,0.002985,1,0,1
108105,20190620,64881510,SPX,9999,1,32768,,A,,2931.5,2958.06,2949.6,2954.18,0,0.009472,1,0,1
108105,20190621,64881510,SPX,9999,1,32768,,A,,2946.87,2964.15,2952.71,2950.46,0,-0.001259,1,0,1
108105,20190624,64881510,SPX,9999,1,32768,,A,,2944.05,2954.92,2951.42,2945.35,0,-0.001732,1,0,1
108105,20190625,64881510,SPX,9999,1,32768,,A,,2916.01,2946.52,2945.78,2917.38,0,-0.009496,1,0,1
108105,20190626,64881510,SPX,9999,1,32768,,A,,2912.99,2932.59,2926.07,2913.78,0,-0.001234,1,0,1
108105,20190627,64881510,SPX,9999,1,32768,,A,,2918.57,2929.3,2919.66,2924.92,0,0.003823,1,0,1
108105,20190628,64881510,SPX,9999,1,32768,,A,,2929.05,2943.98,2932.94,2941.76,0,0.005757,1,0,1
